Id,transcription,normalized_transcription
6194.wav,There is definitely some ligament damage in his knee,there is definitely some ligament damage in his knee
6195.wav,select,select
6196.wav,flicker,flicker
6197.wav,lair,lair
6198.wav,four,four
6199.wav,Young people participate in athletic activities,young people participate in athletic activities
6200.wav,rid,rid
6201.wav,ray,ray
6202.wav,blend,blend
6203.wav,old,old
6204.wav,gas,gas
6205.wav,Stimulating discussions keep students' attention,stimulating discussions keep students attention
6206.wav,city,city
6207.wav,sew,sew
6208.wav,gill,gill
6209.wav,Etiquette mandates compliance with existing regulations,etiquette mandates compliance with existing regulations
6210.wav,Critical equipment needs proper maintenance,critical equipment needs proper maintenance
6211.wav,yes,yes
6212.wav,five,five
6213.wav,sender,sender
6214.wav,The wait for work can be very long,the wait for work can be very long
6215.wav,There was only one decision to be made,there was only one decision to be made
6216.wav,The four brothers looked identical,the four brothers looked identical
6217.wav,Did dad do academic bidding,did dad do academic bidding
6218.wav,I think I'm full of this stuff,i think im full of this stuff
6219.wav,rise,rise
6220.wav,Those people are much quicker than I am,those people are much quicker than i am
6221.wav,pitting,pitting
6222.wav,There is a treehouse up above,there is a treehouse up above
6223.wav,xray,xray
6224.wav,kitten,kitten
6225.wav,She doesn't like to have it hanging around,she doesnt like to have it hanging around
6226.wav,leak,leak
6227.wav,They will take a wedding trip together,they will take a wedding trip together
6228.wav,Help Greg to pick a peck of potatoes,help greg to pick a peck of potatoes
6229.wav,Grandmother outgrew her upbringing in petticoats,grandmother outgrew her upbringing in petticoats
6230.wav,yes,yes
6231.wav,old,old
6232.wav,dice,dice
6233.wav,four,four
6234.wav,thread,thread
6235.wav,sew,sew
6236.wav,We selected places where families will be welcome,we selected places where families will be welcome
6237.wav,fat,fat
6238.wav,each,each
6239.wav,fill,fill
6240.wav,shawl,shawl
6241.wav,bunch,bunch
6242.wav,mall,mall
6243.wav,ache,ache
6244.wav,duck,duck
6245.wav,lies,lies
6246.wav,peas,peas
6247.wav,it,it
6248.wav,sail,sail
6249.wav,code,code
6250.wav,Basketball can be an entertaining sport,basketball can be an entertaining sport
6251.wav,We're all disappointed with our start,were all disappointed with our start
6252.wav,cash,cash
6253.wav,row,row
6254.wav,low,low
6255.wav,fender,fender
6256.wav,able,able
6257.wav,sea,sea
6258.wav,fall,fall
6259.wav,Can you paint a room or a portrait,can you paint a room or a portrait
6260.wav,she,she
6261.wav,panel,panel
6262.wav,When you are through write a clean report,when you are through write a clean report
6263.wav,I had no desire to change my ways,i had no desire to change my ways
6264.wav,This he added brought about petty jealousies and petty personal grievances,this he added brought about petty jealousies and petty personal grievances
6265.wav,why,why
6266.wav,He took heart and played,he took heart and played
6267.wav,pill,pill
6268.wav,Continental drift is a geological theory,continental drift is a geological theory
6269.wav,charm,charm
6270.wav,tail,tail
6271.wav,dock,dock
6272.wav,Young and old also got together,young and old also got together
6273.wav,fool,fool
6274.wav,He has played very well,he has played very well
6275.wav,Elderly people are often excluded,elderly people are often excluded
6276.wav,beat,beat
6277.wav,ache,ache
6278.wav,hat,hat
6279.wav,all,all
6280.wav,hatch,hatch
6281.wav,phone,phone
6282.wav,preach,preach
6283.wav,Upgrade your status to reflect your wealth,upgrade your status to reflect your wealth
6284.wav,It's impossible to deal with bureaucracy,its impossible to deal with bureaucracy
6285.wav,rakes,rakes
6286.wav,ape,ape
6287.wav,We know we can score,we know we can score
6288.wav,spray,spray
6289.wav,leaks,leaks
6290.wav,The legislature met to judge the state of public education,the legislature met to judge the state of public education
6291.wav,sticks,sticks
6292.wav,pole,pole
6293.wav,at,at
6294.wav,pat,pat
6295.wav,food,food
6296.wav,We experience distress and frustration obtaining our degrees,we experience distress and frustration obtaining our degrees
6297.wav,cold,cold
6298.wav,hate,hate
6299.wav,tail,tail
6300.wav,Bagpipes and bongos are musical instruments,bagpipes and bongos are musical instruments
6301.wav,peach,peach
6302.wav,that,that
6303.wav,Now I'm living exactly as I chose,now im living exactly as i chose
6304.wav,guess,guess
6305.wav,hail,hail
6306.wav,I also can be quite vocal,i also can be quite vocal
6307.wav,aid,aid
6308.wav,ache,ache
6309.wav,dock,dock
6310.wav,sea,sea
6311.wav,hand,hand
6312.wav,short,short
6313.wav,tip,tip
6314.wav,cat,cat
6315.wav,boot,boot
6316.wav,reap,reap
6317.wav,sort,sort
6318.wav,We are the largest of the four states,we are the largest of the four states
6319.wav,Both cars were slightly damaged,both cars were slightly damaged
6320.wav,lender,lender
6321.wav,The eastern coast is a place for pure pleasure and excitement,the eastern coast is a place for pure pleasure and excitement
6322.wav,wack,wack
6323.wav,fold,fold
6324.wav,air,air
6325.wav,horn,horn
6326.wav,We got married right here,we got married right here
6327.wav,cake,cake
6328.wav,soul,soul
6329.wav,pet,pet
6330.wav,They'll never fit me again,theyll never fit me again
6331.wav,The marriage went well from the start,the marriage went well from the start
6332.wav,pant,pant
6333.wav,feed,feed
6334.wav,hatch,hatch
6335.wav,fat,fat
6336.wav,ate,ate
6337.wav,It fell out of his pocket,it fell out of his pocket
6338.wav,nice,nice
6339.wav,take,take
6340.wav,Academic aptitude guarantees your diploma,academic aptitude guarantees your diploma
6341.wav,Regular attendance is seldom required,regular attendance is seldom required
6342.wav,wax,wax
6343.wav,pad,pad
6344.wav,ticks,ticks
6345.wav,We know we can score,we know we can score
6346.wav,map,map
6347.wav,hail,hail
6348.wav,We know we can score,we know we can score
6349.wav,wise,wise
6350.wav,I saw him a few weeks later,i saw him a few weeks later
6351.wav,corn,corn
6352.wav,harm,harm
6353.wav,hall,hall
6354.wav,had,had
6355.wav,full,full
6356.wav,bed,bed
6357.wav,I haven't seen that friend for years,i havent seen that friend for years
6358.wav,is,is
6359.wav,ink,ink
6360.wav,blow,blow
6361.wav,fork,fork
6362.wav,sink,sink
6363.wav,fill,fill
6364.wav,sheet,sheet
6365.wav,beep,beep
6366.wav,leap,leap
6367.wav,bumper,bumper
6368.wav,It requires no big investment,it requires no big investment
6369.wav,bank,bank
6370.wav,Any contributions will be greatly appreciated,any contributions will be greatly appreciated
6371.wav,hat,hat
6372.wav,gash,gash
6373.wav,I don't think it's a good idea,i dont think its a good idea
6374.wav,rattle,rattle
6375.wav,chop,chop
6376.wav,A few may be hard to find,a few may be hard to find
6377.wav,seat,seat
6378.wav,He can't abide mistakes in his own game,he cant abide mistakes in his own game
6379.wav,is,is
6380.wav,The snow blew into large drifts,the snow blew into large drifts
6381.wav,woe,woe
6382.wav,sake,sake
6383.wav,sat,sat
6384.wav,bad,bad
6385.wav,court,court
6386.wav,harm,harm
6387.wav,bash,bash
6388.wav,Have no fear if you come alone,have no fear if you come alone
6389.wav,Her position covers a number of daily tasks common to any social director,her position covers a number of daily tasks common to any social director
6390.wav,whip,whip
6391.wav,The lack of heat compounded the tenant's grievances,the lack of heat compounded the tenants grievances
6392.wav,tea,tea
6393.wav,pet,pet
6394.wav,ash,ash
6395.wav,There is such a program,there is such a program
6396.wav,had,had
6397.wav,seed,seed
6398.wav,hall,hall
6399.wav,ease,ease
6400.wav,tall,tall
6401.wav,add,add
6402.wav,The singer's finger had a splinter,the singers finger had a splinter
6403.wav,Luke,luke
6404.wav,We knew we weren't doing well,we knew we werent doing well
6405.wav,fable,fable
6406.wav,eyes,eyes
6407.wav,burn,burn
6408.wav,cork,cork
6409.wav,beam,beam
6410.wav,sprain,sprain
6411.wav,I wanted to be an actress,i wanted to be an actress
6412.wav,tender,tender
6413.wav,weep,weep
6414.wav,Hiring the wife for one's company may win her taxaided retirement income,hiring the wife for ones company may win her taxaided retirement income
6415.wav,aches,aches
6416.wav,The new highway is straight and empty,the new highway is straight and empty
6417.wav,ease,ease
6418.wav,dash,dash
6419.wav,born,born
6420.wav,waste,waste
6421.wav,hall,hall
6422.wav,We must be ready for any needed sacrifice,we must be ready for any needed sacrifice
6423.wav,blend,blend
6424.wav,We all sat down and relaxed,we all sat down and relaxed
6425.wav,six,six
6426.wav,Last year's gas shortage caused steep price increases,last years gas shortage caused steep price increases
6427.wav,We talked about the situation,we talked about the situation
6428.wav,fell,fell
6429.wav,hail,hail
6430.wav,tort,tort
6431.wav,add,add
6432.wav,street,street
6433.wav,end,end
6434.wav,munch,munch
6435.wav,are,are
6436.wav,You have to expect a few bad calls,you have to expect a few bad calls
6437.wav,wart,wart
6438.wav,wine,wine
6439.wav,steak,steak
6440.wav,tall,tall
6441.wav,chap,chap
6442.wav,row,row
6443.wav,He'll sell them by the box,hell sell them by the box
6444.wav,lip,lip
6445.wav,The sun died at night,the sun died at night
6446.wav,ramp,ramp
6447.wav,full,full
6448.wav,cheese,cheese
6449.wav,So he hides the mayonnaise,so he hides the mayonnaise
6450.wav,ail,ail
6451.wav,It was a great meeting,it was a great meeting
6452.wav,harm,harm
6453.wav,fold,fold
6454.wav,Only two seemed really appealing to me,only two seemed really appealing to me
6455.wav,pull,pull
6456.wav,Yet he remains the fiercest of competitors,yet he remains the fiercest of competitors
6457.wav,Handle it any way you have to,handle it any way you have to
6458.wav,We just sat there giggling,we just sat there giggling
6459.wav,zero,zero
6460.wav,Range was a vital detail,range was a vital detail
6461.wav,farm,farm
6462.wav,nine,nine
6463.wav,Begin by trying to speak up more,begin by trying to speak up more
6464.wav,She was not seriously injured,she was not seriously injured
6465.wav,ball,ball
6466.wav,page,page
6467.wav,pain,pain
6468.wav,dock,dock
6469.wav,We are the largest of the four states,we are the largest of the four states
6470.wav,crawl,crawl
6471.wav,spit,spit
6472.wav,Now I'm living exactly as I choose,now im living exactly as i choose
6473.wav,cheer,cheer
6474.wav,bun,bun
6475.wav,wide,wide
6476.wav,hid,hid
6477.wav,boat,boat
6478.wav,pink,pink
6479.wav,seat,seat
6480.wav,bunch,bunch
6481.wav,The store serves meals every day,the store serves meals every day
6482.wav,tile,tile
6483.wav,wives,wives
6484.wav,They make gin saws and deal in parts supplies and some used gin machinery,they make gin saws and deal in parts supplies and some used gin machinery
6485.wav,Challenge each general's intelligence,challenge each generals intelligence
6486.wav,to,to
6487.wav,torn,torn
6488.wav,It was time to go up myself,it was time to go up myself
6489.wav,We just didn't look good,we just didnt look good
6490.wav,six,six
6491.wav,ladle,ladle
6492.wav,punch,punch
6493.wav,owe,owe
6494.wav,pad,pad
6495.wav,lit,lit
6496.wav,pat,pat
6497.wav,steak,steak
6498.wav,The plot is laced with mysterious incidents,the plot is laced with mysterious incidents
6499.wav,dug,dug
6500.wav,hash,hash
6501.wav,bender,bender
6502.wav,bunch,bunch
6503.wav,Old telephone booths aren't easy to find,old telephone booths arent easy to find
6504.wav,sold,sold
6505.wav,He noted the fact carefully,he noted the fact carefully
6506.wav,sticks,sticks
6507.wav,ship,ship
6508.wav,fall,fall
6509.wav,was,was
6510.wav,feet,feet
6511.wav,ball,ball
6512.wav,win,win
6513.wav,knock,knock
6514.wav,Look for pockets of black sand,look for pockets of black sand
6515.wav,leak,leak
6516.wav,docks,docks
6517.wav,had,had
6518.wav,They received all the things they needed,they received all the things they needed
6519.wav,fit,fit
6520.wav,bat,bat
6521.wav,feel,feel
6522.wav,hat,hat
6523.wav,hall,hall
6524.wav,lax,lax
6525.wav,Even a simple vocabulary contains symbols,even a simple vocabulary contains symbols
6526.wav,Try to work things out,try to work things out
6527.wav,blow,blow
6528.wav,Pete,pete
6529.wav,sell,sell
6530.wav,Be prepared for odd behavior from friends,be prepared for odd behavior from friends
6531.wav,see,see
6532.wav,mat,mat
6533.wav,pet,pet
6534.wav,The staff deserves a lot of credit working down here under real obstacles,the staff deserves a lot of credit working down here under real obstacles
6535.wav,ban,ban
6536.wav,two,two
6537.wav,paint,paint
6538.wav,The family requests that flowers be omitted,the family requests that flowers be omitted
6539.wav,center,center
6540.wav,wax,wax
6541.wav,Her position covers a number of daily tasks common to any social director,her position covers a number of daily tasks common to any social director
6542.wav,mile,mile
6543.wav,She makes other trips for pleasure,she makes other trips for pleasure
6544.wav,lip,lip
6545.wav,cash,cash
6546.wav,form,form
6547.wav,final,final
6548.wav,see,see
6549.wav,pit,pit
6550.wav,We got drenched from the uninterrupted rain,we got drenched from the uninterrupted rain
6551.wav,eight,eight
6552.wav,pit,pit
6553.wav,Begin by trying to speak up more,begin by trying to speak up more
6554.wav,Handle it any way you have to,handle it any way you have to
6555.wav,pat,pat
6556.wav,heat,heat
6557.wav,low,low
6558.wav,Worse luck was still to come,worse luck was still to come
6559.wav,reef,reef
6560.wav,feet,feet
6561.wav,funnel,funnel
6562.wav,sheer,sheer
6563.wav,hold,hold
6564.wav,feed,feed
6565.wav,heat,heat
6566.wav,The legislature met to judge the state of public education,the legislature met to judge the state of public education
6567.wav,The job also covers a number of other items,the job also covers a number of other items
6568.wav,I soon found myself muttering to the walls,i soon found myself muttering to the walls
6569.wav,teach,teach
6570.wav,bull,bull
6571.wav,seven,seven
6572.wav,beat,beat
6573.wav,ease,ease
6574.wav,fork,fork
6575.wav,beast,beast
6576.wav,I like them because they are practical,i like them because they are practical
6577.wav,The structures housing the apartments are of masonry and frame construction,the structures housing the apartments are of masonry and frame construction
6578.wav,fell,fell
6579.wav,seed,seed
6580.wav,Did you eat yet,did you eat yet
6581.wav,At twilight on the twelfth day we'll have Chablis,at twilight on the twelfth day well have chablis
6582.wav,Fill that canteen with fresh spring water,fill that canteen with fresh spring water
6583.wav,Eat your raisins outdoors on the porch steps,eat your raisins outdoors on the porch steps
6584.wav,nine,nine
6585.wav,Chocolate and roses never fail as a romantic gift,chocolate and roses never fail as a romantic gift
6586.wav,table,table
6587.wav,rise,rise
6588.wav,wax,wax
6589.wav,meat,meat
6590.wav,rake,rake
6591.wav,screech,screech
6592.wav,The prowler wore a ski mask for disguise,the prowler wore a ski mask for disguise
6593.wav,gable,gable
6594.wav,ember,ember
6595.wav,bat,bat
6596.wav,rise,rise
6597.wav,She will order the wine,she will order the wine
6598.wav,term,term
6599.wav,Porcupines resemble sea urchins,porcupines resemble sea urchins
6600.wav,It was a huge part of my life,it was a huge part of my life
6601.wav,I didn't know where they were coming from,i didnt know where they were coming from
6602.wav,pace,pace
6603.wav,hall,hall
6604.wav,racks,racks
6605.wav,Spring Street is straight ahead,spring street is straight ahead
6606.wav,arm,arm
6607.wav,We shelled clams for the chowder,we shelled clams for the chowder
6608.wav,It looked like an accordion,it looked like an accordion
6609.wav,We've done it in the past,weve done it in the past
6610.wav,temper,temper
6611.wav,leak,leak
6612.wav,leap,leap
6613.wav,seat,seat
6614.wav,Addition and subtraction are learned skills,addition and subtraction are learned skills
6615.wav,bow ,bow 
6616.wav,reap,reap
6617.wav,hash,hash
6618.wav,mock,mock
6619.wav,space,space
6620.wav,Look for pockets of black sand,look for pockets of black sand
6621.wav,Cliff's display was misplaced on the screen,cliffs display was misplaced on the screen
6622.wav,weave,weave
6623.wav,wipe,wipe
6624.wav,reach,reach
6625.wav,wall,wall
6626.wav,big,big
6627.wav,beat,beat
6628.wav,rise,rise
6629.wav,ate,ate
6630.wav,rip,rip
6631.wav,hail,hail
6632.wav,I tell you it was wonderful,i tell you it was wonderful
6633.wav,tall,tall
6634.wav,neat,neat
6635.wav,tile,tile
6636.wav,me,me
6637.wav,There was no confirmation of such massive assaults from independent sources,there was no confirmation of such massive assaults from independent sources
6638.wav,Ambidextrous pickpockets accomplish more,ambidextrous pickpockets accomplish more
6639.wav,ache,ache
6640.wav,Cable confirmation it said translated,cable confirmation it said translated
6641.wav,sink,sink
6642.wav,hash,hash
6643.wav,hold,hold
6644.wav,all,all
6645.wav,I was pleased with the way things went,i was pleased with the way things went
6646.wav,with,with
6647.wav,is,is
6648.wav,with,with
6649.wav,to,to
6650.wav,see,see
6651.wav,Luke,luke
6652.wav,had,had
6653.wav,The new highway is straight and empty,the new highway is straight and empty
6654.wav,it,it
6655.wav,spit,spit
6656.wav,chop,chop
6657.wav,sink,sink
6658.wav,He has played very well,he has played very well
6659.wav,had,had
6660.wav,Begin by trying to speak up more,begin by trying to speak up more
6661.wav,bunch,bunch
6662.wav,fable,fable
6663.wav,rise,rise
6664.wav,reach,reach
6665.wav,teach,teach
6666.wav,feel,feel
6667.wav,duck,duck
6668.wav,seat,seat
6669.wav,reap,reap
6670.wav,form,form
6671.wav,ink,ink
6672.wav,why,why
6673.wav,The singer's finger had a splinter,the singers finger had a splinter
6674.wav,feet,feet
6675.wav,charm,charm
6676.wav,They make gin saws and deal in parts supplies and some used gin machinery,they make gin saws and deal in parts supplies and some used gin machinery
6677.wav,fell,fell
6678.wav,row,row
6679.wav,fill,fill
6680.wav,We just sat there giggling,we just sat there giggling
6681.wav,The staff deserves a lot of credit working down here under real obstacles,the staff deserves a lot of credit working down here under real obstacles
6682.wav,It fell out of his pocket,it fell out of his pocket
6683.wav,Even a simple vocabulary contains symbols,even a simple vocabulary contains symbols
6684.wav,dock,dock
6685.wav,mat,mat
6686.wav,bash,bash
6687.wav,blend,blend
6688.wav,ease,ease
6689.wav,rip,rip
6690.wav,whip,whip
6691.wav,was,was
6692.wav,pit,pit
6693.wav,blow,blow
6694.wav,ache,ache
6695.wav,heat,heat
6696.wav,zero,zero
6697.wav,rake,rake
6698.wav,sheet,sheet
6699.wav,woe,woe
6700.wav,hail,hail
6701.wav,pet,pet
6702.wav,sail,sail
6703.wav,hatch,hatch
6704.wav,Hiring the wife for one's company may win her taxaided retirement income,hiring the wife for ones company may win her taxaided retirement income
6705.wav,seat,seat
6706.wav,aches,aches
6707.wav,bow ,bow 
6708.wav,crawl,crawl
6709.wav,bank,bank
6710.wav,ember,ember
6711.wav,farm,farm
6712.wav,dash,dash
6713.wav,leap,leap
6714.wav,tile,tile
6715.wav,horn,horn
6716.wav,ramp,ramp
6717.wav,leak,leak
6718.wav,cake,cake
6719.wav,Now I'm living exactly as I choose,now im living exactly as i choose
6720.wav,fell,fell
6721.wav,beat,beat
6722.wav,cheer,cheer
6723.wav,mall,mall
6724.wav,nine,nine
6725.wav,I didn't know where they were coming from,i didnt know where they were coming from
6726.wav,I had no desire to change my ways,i had no desire to change my ways
6727.wav,fork,fork
6728.wav,air,air
6729.wav,beast,beast
6730.wav,Her position covers a number of daily tasks common to any social director,her position covers a number of daily tasks common to any social director
6731.wav,We've done it in the past,weve done it in the past
6732.wav,mile,mile
6733.wav,chap,chap
6734.wav,dock,dock
6735.wav,Young and old also got together,young and old also got together
6736.wav,hash,hash
6737.wav,heat,heat
6738.wav,tile,tile
6739.wav,dug,dug
6740.wav,tort,tort
6741.wav,We shelled clams for the chowder,we shelled clams for the chowder
6742.wav,Porcupines resemble sea urchins,porcupines resemble sea urchins
6743.wav,sink,sink
6744.wav,food,food
6745.wav,tall,tall
6746.wav,wart,wart
6747.wav,preach,preach
6748.wav,The legislature met to judge the state of public education,the legislature met to judge the state of public education
6749.wav,lip,lip
6750.wav,shawl,shawl
6751.wav,The lack of heat compounded the tenant's grievances,the lack of heat compounded the tenants grievances
6752.wav,docks,docks
6753.wav,wide,wide
6754.wav,We just didn't look good,we just didnt look good
6755.wav,tail,tail
6756.wav,She makes other trips for pleasure,she makes other trips for pleasure
6757.wav,short,short
6758.wav,neat,neat
6759.wav,all,all
6760.wav,peas,peas
6761.wav,sea,sea
6762.wav,I don't think it's a good idea,i dont think its a good idea
6763.wav,sake,sake
6764.wav,ball,ball
6765.wav,tall,tall
6766.wav,bat,bat
6767.wav,She was not seriously injured,she was not seriously injured
6768.wav,hail,hail
6769.wav,ash,ash
6770.wav,cash,cash
6771.wav,pet,pet
6772.wav,able,able
6773.wav,leaks,leaks
6774.wav,Look for pockets of black sand,look for pockets of black sand
6775.wav,she,she
6776.wav,win,win
6777.wav,bull,bull
6778.wav,court,court
6779.wav,eyes,eyes
6780.wav,I saw him a few weeks later,i saw him a few weeks later
6781.wav,ship,ship
6782.wav,pant,pant
6783.wav,end,end
6784.wav,He can't abide mistakes in his own game,he cant abide mistakes in his own game
6785.wav,spray,spray
6786.wav,had,had
6787.wav,We knew we weren't doing well,we knew we werent doing well
6788.wav,term,term
6789.wav,At twilight on the twelfth day we'll have Chablis,at twilight on the twelfth day well have chablis
6790.wav,space,space
6791.wav,beep,beep
6792.wav,hall,hall
6793.wav,knock,knock
6794.wav,fall,fall
6795.wav,big,big
6796.wav,see,see
6797.wav,They received all the things they needed,they received all the things they needed
6798.wav,ache,ache
6799.wav,I wanted to be an actress,i wanted to be an actress
6800.wav,Continental drift is a geological theory,continental drift is a geological theory
6801.wav,aid,aid
6802.wav,Any contributions will be greatly appreciated,any contributions will be greatly appreciated
6803.wav,mock,mock
6804.wav,sheer,sheer
6805.wav,tender,tender
6806.wav,ate,ate
6807.wav,six,six
6808.wav,rattle,rattle
6809.wav,wax,wax
6810.wav,wives,wives
6811.wav,hall,hall
6812.wav,hail,hail
6813.wav,row,row
6814.wav,cat,cat
6815.wav,sell,sell
6816.wav,Upgrade your status to reflect your wealth,upgrade your status to reflect your wealth
6817.wav,We are the largest of the four states,we are the largest of the four states
6818.wav,The legislature met to judge the state of public education,the legislature met to judge the state of public education
6819.wav,paint,paint
6820.wav,me,me
6821.wav,It looked like an accordion,it looked like an accordion
6822.wav,pat,pat
6823.wav,Old telephone booths aren't easy to find,old telephone booths arent easy to find
6824.wav,is,is
6825.wav,blow,blow
6826.wav,He noted the fact carefully,he noted the fact carefully
6827.wav,There is such a program,there is such a program
6828.wav,add,add
6829.wav,We know we can score,we know we can score
6830.wav,each,each
6831.wav,ache,ache
6832.wav,pole,pole
6833.wav,We got drenched from the uninterrupted rain,we got drenched from the uninterrupted rain
6834.wav,harm,harm
6835.wav,fork,fork
6836.wav,Range was a vital detail,range was a vital detail
6837.wav,Elderly people are often excluded,elderly people are often excluded
6838.wav,We are the largest of the four states,we are the largest of the four states
6839.wav,She will order the wine,she will order the wine
6840.wav,hat,hat
6841.wav,Can you paint a room or a portrait,can you paint a room or a portrait
6842.wav,Regular attendance is seldom required,regular attendance is seldom required
6843.wav,We all sat down and relaxed,we all sat down and relaxed
6844.wav,soul,soul
6845.wav,ticks,ticks
6846.wav,fat,fat
6847.wav,torn,torn
6848.wav,ate,ate
6849.wav,pull,pull
6850.wav,lies,lies
6851.wav,low,low
6852.wav,six,six
6853.wav,hash,hash
6854.wav,bumper,bumper
6855.wav,We experience distress and frustration obtaining our degrees,we experience distress and frustration obtaining our degrees
6856.wav,table,table
6857.wav,The family requests that flowers be omitted,the family requests that flowers be omitted
6858.wav,nine,nine
6859.wav,fall,fall
6860.wav,guess,guess
6861.wav,rakes,rakes
6862.wav,cash,cash
6863.wav,lax,lax
6864.wav,A few may be hard to find,a few may be hard to find
6865.wav,Last year's gas shortage caused steep price increases,last years gas shortage caused steep price increases
6866.wav,peach,peach
6867.wav,It's impossible to deal with bureaucracy,its impossible to deal with bureaucracy
6868.wav,cheese,cheese
6869.wav,The plot is laced with mysterious incidents,the plot is laced with mysterious incidents
6870.wav,We're all disappointed with our start,were all disappointed with our start
6871.wav,bender,bender
6872.wav,bad,bad
6873.wav,munch,munch
6874.wav,pat,pat
6875.wav,add,add
6876.wav,temper,temper
6877.wav,We got married right here,we got married right here
6878.wav,This he added brought about petty jealousies and petty personal grievances,this he added brought about petty jealousies and petty personal grievances
6879.wav,sat,sat
6880.wav,gash,gash
6881.wav,The job also covers a number of other items,the job also covers a number of other items
6882.wav,ail,ail
6883.wav,sprain,sprain
6884.wav,rise,rise
6885.wav,hat,hat
6886.wav,harm,harm
6887.wav,bat,bat
6888.wav,that,that
6889.wav,meat,meat
6890.wav,fold,fold
6891.wav,pad,pad
6892.wav,gable,gable
6893.wav,leak,leak
6894.wav,two,two
6895.wav,The sun died at night,the sun died at night
6896.wav,weep,weep
6897.wav,We must be ready for any needed sacrifice,we must be ready for any needed sacrifice
6898.wav,wax,wax
6899.wav,The structures housing the apartments are of masonry and frame construction,the structures housing the apartments are of masonry and frame construction
6900.wav,seven,seven
6901.wav,at,at
6902.wav,Spring Street is straight ahead,spring street is straight ahead
6903.wav,It was time to go up myself,it was time to go up myself
6904.wav,map,map
6905.wav,ease,ease
6906.wav,Begin by trying to speak up more,begin by trying to speak up more
6907.wav,pet,pet
6908.wav,Challenge each general's intelligence,challenge each generals intelligence
6909.wav,You have to expect a few bad calls,you have to expect a few bad calls
6910.wav,hall,hall
6911.wav,punch,punch
6912.wav,sea,sea
6913.wav,Addition and subtraction are learned skills,addition and subtraction are learned skills
6914.wav,hold,hold
6915.wav,tail,tail
6916.wav,panel,panel
6917.wav,street,street
6918.wav,seat,seat
6919.wav,pit,pit
6920.wav,born,born
6921.wav,Cliff's display was misplaced on the screen,cliffs display was misplaced on the screen
6922.wav,pad,pad
6923.wav,Worse luck was still to come,worse luck was still to come
6924.wav,beat,beat
6925.wav,They'll never fit me again,theyll never fit me again
6926.wav,Eat your raisins outdoors on the porch steps,eat your raisins outdoors on the porch steps
6927.wav,hatch,hatch
6928.wav,eight,eight
6929.wav,We know we can score,we know we can score
6930.wav,I tell you it was wonderful,i tell you it was wonderful
6931.wav,Handle it any way you have to,handle it any way you have to
6932.wav,steak,steak
6933.wav,funnel,funnel
6934.wav,fat,fat
6935.wav,take,take
6936.wav,Chocolate and roses never fail as a romantic gift,chocolate and roses never fail as a romantic gift
6937.wav,pain,pain
6938.wav,nice,nice
6939.wav,hail,hail
6940.wav,fool,fool
6941.wav,pace,pace
6942.wav,sold,sold
6943.wav,pink,pink
6944.wav,fill,fill
6945.wav,burn,burn
6946.wav,full,full
6947.wav,leap,leap
6948.wav,Cable confirmation it said translated,cable confirmation it said translated
6949.wav,bun,bun
6950.wav,Her position covers a number of daily tasks common to any social director,her position covers a number of daily tasks common to any social director
6951.wav,fender,fender
6952.wav,hand,hand
6953.wav,weave,weave
6954.wav,corn,corn
6955.wav,lip,lip
6956.wav,bunch,bunch
6957.wav,lit,lit
6958.wav,beam,beam
6959.wav,tall,tall
6960.wav,sticks,sticks
6961.wav,ape,ape
6962.wav,pill,pill
6963.wav,hall,hall
6964.wav,arm,arm
6965.wav,He took heart and played,he took heart and played
6966.wav,There was no confirmation of such massive assaults from independent sources,there was no confirmation of such massive assaults from independent sources
6967.wav,full,full
6968.wav,all,all
6969.wav,hold,hold
6970.wav,hat,hat
6971.wav,Ambidextrous pickpockets accomplish more,ambidextrous pickpockets accomplish more
6972.wav,racks,racks
6973.wav,code,code
6974.wav,We talked about the situation,we talked about the situation
6975.wav,hash,hash
6976.wav,low,low
6977.wav,So he hides the mayonnaise,so he hides the mayonnaise
6978.wav,Look for pockets of black sand,look for pockets of black sand
6979.wav,phone,phone
6980.wav,The store serves meals every day,the store serves meals every day
6981.wav,fit,fit
6982.wav,ball,ball
6983.wav,wise,wise
6984.wav,boot,boot
6985.wav,tea,tea
6986.wav,reef,reef
6987.wav,sticks,sticks
6988.wav,seed,seed
6989.wav,fold,fold
6990.wav,seed,seed
6991.wav,It was a great meeting,it was a great meeting
6992.wav,Both cars were slightly damaged,both cars were slightly damaged
6993.wav,bunch,bunch
6994.wav,Pete,pete
6995.wav,center,center
6996.wav,ladle,ladle
6997.wav,lender,lender
6998.wav,ban,ban
6999.wav,I soon found myself muttering to the walls,i soon found myself muttering to the walls
7000.wav,wack,wack
7001.wav,are,are
7002.wav,wall,wall
7003.wav,beat,beat
7004.wav,He'll sell them by the box,hell sell them by the box
7005.wav,screech,screech
7006.wav,cork,cork
7007.wav,The eastern coast is a place for pure pleasure and excitement,the eastern coast is a place for pure pleasure and excitement
7008.wav,owe,owe
7009.wav,We know we can score,we know we can score
7010.wav,steak,steak
7011.wav,It requires no big investment,it requires no big investment
7012.wav,feed,feed
7013.wav,feet,feet
7014.wav,bed,bed
7015.wav,I also can be quite vocal,i also can be quite vocal
7016.wav,pat,pat
7017.wav,Now I'm living exactly as I chose,now im living exactly as i chose
7018.wav,sort,sort
7019.wav,hall,hall
7020.wav,When you are through write a clean report,when you are through write a clean report
7021.wav,reap,reap
